"y","NAO","EA","WP","EP_NP","PNA","EA_WR","SCA","POL","ENSO_MEI","AO","AMO","PDO"
"0",1.84,0.74,0.48,-0.14,-1.36,-0.15,-1.54,-0.64,0.734,1.61,-0.201,0.46
"2",-1.53,-0.33,-0.65,2.55,-1.49,0.8,0.55,-0.66,0.818,-0.826,-0.246,0.22
"2",0.15,-0.71,-0.04,-0.35,-0.35,0.87,-1.95,-0.31,0.387,-0.0083,-0.222,1.38
"0",-0.46,-1.74,0.32,0.99,-1.1,2.24,1.72,0.19,-1.733,0.13,-0.171,-1.07
"0",1.87,-1.68,-0.87,1.78,-0.81,1.67,0.18,-0.36,-1.235,0.818,-0.423,-0.15
"0",0.36,0.75,2.59,0.83,-1.38,0.79,0.5,1.15,0.734,0.828,-0.207,-0.79
"0",-0.46,-1.74,0.32,0.99,-1.1,2.24,1.72,0.19,-1.733,0.13,-0.171,-1.07
"3",0.03,0.33,-1.16,-1.42,-0.01,1.48,-0.73,-0.12,0.185,0.452,0.01,-0.3
"0",0.53,0.72,0.19,0.33,-2.27,0.7,0.07,1.71,-1.273,1.17,0.052,-1.91
"2",-0.22,1.83,-0.27,-1.17,-0.14,0.53,-0.55,-0.36,0.366,0.521,0.21,-0.77
"0",0.36,0.75,2.59,0.83,-1.38,0.79,0.5,1.15,0.734,0.828,-0.207,-0.79
"0",1.92,0.15,1.56,-0.48,-1.64,0.78,0.19,-0.16,0.373,0.933,-0.026,0.17
"0",1.57,-1.13,1.59,0.6,-1.53,0.45,-0.13,0.23,-1.473,0.345,-0.258,-0.4
"0",-1.99,-1.82,-2.18,-0.14,-0.69,-0.21,1.44,-0.68,0.14,-0.782,-0.089,-0.81
"3",-1.01,1.15,0.19,-0.31,-1.03,-0.93,0.13,0.07,-0.036,0.156,0.331,0.48
"0",1.61,0.21,-0.88,1.9,0.27,1.77,0.41,0.4,-1.087,0.142,0.015,-0.32
"0",-0.12,-1.29,0.8,-0.76,-0.36,-0.17,0.03,-0.74,-0.142,0.0073,-0.306,0.18
"0",1.22,-1.72,0.37,-1.67,0.82,-0.98,0.74,-0.01,1.725,0.131,0.01,3.51
"0",0.97,1.74,1.19,0.43,-0.37,0.99,-1.24,0.79,0.527,0.535,-0.359,1.44
"1",0.24,1.31,0.76,0.17,-0.53,1.79,-0.77,-0.4,0.026,-0.102,0.235,0.68
"0",-0.12,-1.29,0.8,-0.76,-0.36,-0.17,0.03,-0.74,-0.142,0.0073,-0.306,0.18
"0",0.35,-1.74,2.82,-0.57,-1.18,-1.23,0.43,-0.53,-0.149,0.0109,-0.044,0.26
"0",-0.29,-0.44,0.04,1.59,0.66,0.87,-0.48,-1.77,1.459,-0.52,-0.16,2.34
"1",0.13,-0.46,1,-1.42,0.74,1.15,-1.24,0.05,-1.158,0.139,-0.188,-0.68
"2",1.12,-0.24,0.59,-0.39,1.76,0.45,-0.15,-0.19,0.121,-0.18,0.072,0.11
"0",0.36,0.75,2.59,0.83,-1.38,0.79,0.5,1.15,0.734,0.828,-0.207,-0.79
"1",0.35,0.56,0.35,-0.6,0.69,-1.6,0,0.37,0.304,0.0261,0.47,0.25
"0",-1.34,-1.45,1.85,-0.7,-0.16,0.24,0.68,-0.37,0.917,-1.15,0.146,1.2
"0",0.35,-1.71,2.64,0.75,-1.26,0.37,-1.36,-1.04,1.405,-0.51,-0.176,-0.47
"0",-0.4,-0.66,0.72,-0.31,-0.82,-0.14,1.28,0.03,-0.731,-0.432,-0.318,0
"0",-1.11,0.12,2.46,1.7,-2.43,0.38,0.99,-0.68,-0.401,-0.604,-0.261,-1.24
"0",-1.17,-0.75,-0.67,-0.56,-0.25,1.26,1.64,0.76,2.307,-0.815,0.032,2.76
"2",-0.22,1.83,-0.27,-1.17,-0.14,0.53,-0.55,-0.36,0.366,0.521,0.21,-0.77
"0",1.11,-0.92,1.57,1.82,0.67,-0.42,0.38,-1.53,0.645,-0.684,-0.099,0.52
"1",0.05,-0.41,1.6,-0.22,0.57,1.4,-0.96,-0.48,-0.554,0.152,-0.052,-0.48
"0",1.11,-0.92,1.57,1.82,0.67,-0.42,0.38,-1.53,0.645,-0.684,-0.099,0.52
"3",0.26,-1.6,0.79,1.43,0.42,0.36,-0.44,-1.16,0.487,-0.383,0.352,1.17
"0",1.35,-2.22,0.24,0.85,-1.14,2.08,1.24,-0.98,-0.184,0.466,-0.209,-0.03
"1",-1.37,-1.27,0.17,0.21,0.27,2.25,0.74,2.23,0.593,0.943,-0.039,0.44
"0",-0.42,-0.54,0.96,0.03,-1.04,-0.01,2.11,-0.83,0.859,-0.492,-0.091,0.19
"0",-0.04,-1.05,0.24,0.26,-1.11,0.24,-1.25,0.3,-0.921,0.068,0.034,-1.22
"0",-0.42,-0.54,0.96,0.03,-1.04,-0.01,2.11,-0.83,0.859,-0.492,-0.091,0.19
"0",0.9,0.41,-0.3,-0.69,-0.05,1.66,-1.28,-1.6,-0.681,0.226,0.188,-0.68
"1",0.05,-0.41,1.6,-0.22,0.57,1.4,-0.96,-0.48,-0.554,0.152,-0.052,-0.48
"0",0.94,0.25,1.19,-0.9,0.58,-0.31,0.36,-0.28,-0.48,0.0596,-0.474,-0.68
"0",1.11,-0.92,1.57,1.82,0.67,-0.42,0.38,-1.53,0.645,-0.684,-0.099,0.52
"0",0.19,-1.23,1.17,1.83,0.38,1.15,-1.03,1.9,0.931,0.191,-0.201,1.9
"0",1.16,-0.23,0.34,1.19,-0.33,-0.28,-0.5,-1.6,0.45,-0.201,0.258,0.44
"0",0.19,-1.23,1.17,1.83,0.38,1.15,-1.03,1.9,0.931,0.191,-0.201,1.9
"0",-0.12,-1.29,0.8,-0.76,-0.36,-0.17,0.03,-0.74,-0.142,0.0073,-0.306,0.18
"0",0.44,0.5,0.31,-0.12,-1.24,1.25,-1.72,-0.18,-0.641,0.259,-0.219,-0.89
"0",0.38,-0.29,0.02,0.65,1.11,0.86,1.55,-2.94,-0.358,-0.619,0.282,-0.27
"0",-0.9,1.45,-0.13,-0.87,1.27,-0.83,-0.38,0.77,0.397,-0.25,-0.102,1.09
"1",0.05,-0.41,1.6,-0.22,0.57,1.4,-0.96,-0.48,-0.554,0.152,-0.052,-0.48
"1",-0.87,0.48,0.26,0.34,-0.92,0.8,-0.01,1.76,-0.474,-0.002,0.229,-0.66
"0",-1.28,-0.71,1.64,-0.28,0.51,0.95,1.31,0.19,-1.508,-0.668,-0.35,-1.55
"0",0.6,-0.1,-0.61,-1.13,0.51,1.61,-2.15,-0.4,0.42,0.41,0.105,0.1
"0",-1.99,-1.82,-2.18,-0.14,-0.69,-0.21,1.44,-0.68,0.14,-0.782,-0.089,-0.81
"0",1.17,1.83,1.47,-0.61,1.84,-1.36,0.65,-0.49,-0.069,0.837,0.044,-0.61
"0",-1.34,-1.45,1.85,-0.7,-0.16,0.24,0.68,-0.37,0.917,-1.15,0.146,1.2
